arc_mf_fpr,arc_m_fpr,face_m_fpr,face_mf_fpr
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0.000333333,0
0,0,0.010333333,0
0,0,0.065,0
0,0,0.205,0
0,0,0.38,0
0,0,0.584333333,0
0,0,0.748,0
0,0,0.852,0
0,0,0.921666667,0
0,0,0.958666667,0
0,0,0.979,0
0,0,0.989666667,0
0,0,0.995,0
0,0,0.998333333,0
0,0,0.999333333,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0
0,0,1,0.000333333
0,0,1,0.000666667
0,0,1,0.001
0,0,1,0.002333333
0,0,1,0.003
0,0,1,0.004
0,0,1,0.004
0,0,1,0.005333333
0,0,1,0.006666667
0,0,1,0.009333333
0,0,1,0.012333333
0,0,1,0.013333333
0,0.000333333,1,0.017333333
0,0.000333333,1,0.019333333
0,0.000333333,1,0.025
0,0.000333333,1,0.028
0,0.000333333,1,0.030333333
0,0.000333333,1,0.035333333
0,0.000333333,1,0.039333333
0,0.000333333,1,0.045666667
0,0.000333333,1,0.05
0.000333333,0.000666667,1,0.056333333
0.000333333,0.000666667,1,0.062666667
0.000333333,0.000666667,1,0.072666667
0.000333333,0.000666667,1,0.080666667
0.000333333,0.000666667,1,0.088666667
0.000666667,0.000666667,1,0.101
0.001,0.000666667,1,0.114333333
0.001666667,0.000666667,1,0.127333333
0.002,0.000666667,1,0.14
0.002333333,0.000666667,1,0.148333333
0.002666667,0.001,1,0.163666667
0.003666667,0.001,1,0.175333333
0.005,0.001333333,1,0.184333333
0.006,0.001333333,1,0.196
0.009,0.001333333,1,0.209666667
0.009666667,0.001333333,1,0.220666667
0.011,0.001333333,1,0.235666667
0.014,0.001333333,1,0.252666667
0.017666667,0.002,1,0.267
0.021666667,0.002,1,0.287333333
0.024333333,0.002333333,1,0.304
0.028666667,0.003,1,0.318666667
0.032666667,0.003666667,1,0.336
0.040666667,0.005,1,0.356333333
0.047,0.007,1,0.372
0.056666667,0.008666667,1,0.386333333
0.063,0.009666667,1,0.402666667
0.075333333,0.011666667,1,0.423333333
0.085,0.011666667,1,0.441333333
0.096333333,0.012666667,1,0.460666667
0.107666667,0.015,1,0.478333333
0.120333333,0.016666667,1,0.498
0.132333333,0.019333333,1,0.516666667
0.145333333,0.021666667,1,0.534333333
0.161666667,0.023666667,1,0.547333333
0.182333333,0.026333333,1,0.563666667
0.203,0.029666667,1,0.578333333
