arc_mf,arc_m,face_m,face_mf
0,0,0,0
0,0,0,0
0,0,0.000333333,0
0,0,0.006,0
0,0,0.069333333,0
0,0,0.234333333,0
0,0,0.456,0
0,0,0.651666667,0
0,0,0.790333333,0
0,0,0.878666667,0
0,0,0.934,0.000333333
0,0,0.963333333,0.000333333
0,0,0.979333333,0.000666667
0,0,0.989666667,0.000666667
0,0,0.996,0.001333333
0,0,0.998333333,0.001666667
0,0,0.999666667,0.003333333
0,0,0.999666667,0.005
0,0,1,0.006666667
0,0,1,0.010333333
0,0,1,0.013333333
0,0,1,0.016
0,0,1,0.021
0,0,1,0.022666667
0,0,1,0.026666667
0,0,1,0.030666667
0,0,1,0.035
0.000333333,0,1,0.040333333
0.000666667,0,1,0.050333333
0.000666667,0.000333333,1,0.055333333
0.001,0.000333333,1,0.067
0.001,0.000333333,1,0.075
0.001,0.000333333,1,0.083333333
0.001333333,0.000333333,1,0.092666667
0.001666667,0.000666667,1,0.099666667
0.002666667,0.001,1,0.109333333
0.002666667,0.001,1,0.123
0.003,0.001,1,0.139
0.004,0.001333333,1,0.151
0.004666667,0.001333333,1,0.164333333
0.004666667,0.001666667,1,0.178
0.005,0.002,1,0.193333333
0.006666667,0.002,1,0.211666667
0.008333333,0.002333333,1,0.231666667
0.009,0.003333333,1,0.247
0.010666667,0.003666667,1,0.262333333
0.014333333,0.004666667,1,0.286
0.018,0.005666667,1,0.303333333
0.021333333,0.006333333,1,0.317333333
0.025,0.006666667,1,0.334666667
0.032333333,0.007333333,1,0.355
0.036,0.008,1,0.371333333
0.041,0.008,1,0.390666667
0.049333333,0.01,1,0.405333333
0.054333333,0.013,1,0.423666667
0.062666667,0.015333333,1,0.441333333
0.068333333,0.018,1,0.456
0.077333333,0.019333333,1,0.475333333
0.088333333,0.021333333,1,0.493666667
0.098,0.025333333,1,0.511666667
0.106333333,0.027666667,1,0.528
0.119,0.028666667,1,0.545666667
0.131333333,0.031666667,1,0.563666667
0.145333333,0.035,1,0.581666667
0.159666667,0.038,1,0.599
0.174,0.041333333,1,0.616
0.193,0.043666667,1,0.631
0.210666667,0.048666667,1,0.647333333
0.230333333,0.052666667,1,0.660333333
0.248,0.06,1,0.674666667
0.269666667,0.066333333,1,0.688333333
0.289666667,0.070666667,1,0.704333333
0.313333333,0.080333333,1,0.72
0.335666667,0.086666667,1,0.731333333
0.356333333,0.096666667,1,0.74
