arc_train_mf,face_train_mf,arc_train_m1,face_train_m1
23.49319847,7.604359484,26.1723444,26.04159909
19.21738101,7.397321574,23.90779023,23.48434695
15.98580801,7.157054255,21.73492435,21.42102853
11.40902432,6.823157674,20.06677333,19.57204996
8.165580014,6.377449158,16.44078229,15.6344516
6.46403036,5.870266191,11.68351707,11.10000487
4.620744257,5.348700985,8.454618757,8.077054727
3.425083318,4.808197475,6.587436644,6.238138135
2.641543734,4.403193158,5.261251975,4.95879055
2.097870502,4.022489309,4.256724064,3.970193374
1.662460464,3.676681985,3.454760602,3.224168698
1.33331062,3.291825315,2.831138554,2.668497371
1.079090094,2.910690099,2.274717403,2.180751348
0.87591044,2.551703136,1.882277823,1.799020377
0.689222493,2.239132876,1.519994824,1.460549813
0.550596963,1.927447633,1.27245053,1.184016994
0.434602946,1.728450644,1.00668018,0.971817134
0.339177541,1.584132454,0.812647846,0.756136344
0.262638049,1.33015184,0.662412253,0.615304036
0.205566014,1.1800043,0.523091241,0.492136489
0.147080755,1.037712521,0.403616859,0.411643862
0.113650604,0.903474265,0.301649201,0.311244744
0.081047724,0.799790475,0.225888258,0.225606923
0.061589207,0.741281143,0.171164831,0.172679088
0.048634753,0.674975589,0.130311718,0.128964362
0.036974091,0.628354516,0.101986649,0.092833024
0.027587212,0.56979331,0.070975342,0.06571036
0.022718815,0.498027173,0.050777998,0.049724581
0.024894751,0.533770094,0.040481833,0.035333079
0.018664521,0.439211447,0.032184868,0.032558772
0.01609839,0.398718275,0.025431625,0.026377648
0.014593198,0.363569012,0.020487489,0.021256969
0.01372101,0.420927371,0.017342097,0.01834774
0.012890633,0.37550547,0.016153104,0.016201955
0.012361991,0.363832264,0.014786427,0.015305961
0.011705713,0.317467437,,0.014127908
0.01114613,0.360068758,,0.012573873
0.010799869,0.283938447,,0.012196316
0.01039154,0.285573569,,0.011863676
0.01001417,0.252056605,,0.011326793
0.009753287,0.236397249,,0.010480595
0.00956733,0.30065295,,0.009962846
0.009077923,0.302426945,,0.009895842
0.008666359,0.274390583,,0.009234169
0.008478162,0.261954838,,0.008994715
0.008188839,0.254171838,,0.008824553
0.007892258,0.269552847,,0.008562193
0.007651646,0.20998174,,0.007812993
0.007524916,0.254243548,,0.007663809
0.00725193,0.272666489,,0.007556656
0.007145937,0.2259058,,
0.007043339,0.252816961,,
0.007000314,0.258538836,,
0.006732283,0.24550774,,
0.006591407,0.212686323,,
0.006273783,0.177827912,,
0.00619463,0.169747185,,
0.006090994,0.174769195,,
0.006013051,0.17840427,,
0.005764574,0.16647583,,
